Category,Value,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
Variables & Data Types,100,Which of the following declares an integer variable in C++?,int num;,float num;,num int;,integer num;,A
Variables & Data Types,200,Which data type is used to store a single character?,string,char,bool,text,B
Variables & Data Types,300,What is the value of x after int x = 5/2;?,2,2.5,3,2.0,A
Variables & Data Types,400,Which of the following is a floating-point literal?,10,5.0,'A',true,B
Variables & Data Types,500,Which operator is used to get the remainder?,/,%,-,*,B
Control Structures,100,Which statement is used to make a decision?,if,while,for,switch,A
Control Structures,200,What is the output of: if (5 > 10) cout << 'Hi'; else cout << 'Bye';,Hi,Bye,Error,Nothing,B
Control Structures,300,Which loop always executes at least once?,for,while,do-while,if,C
Control Structures,400,Which keyword exits a loop immediately?,continue,exit,stop,break,D
Control Structures,500,How many times will the loop for(int i=0;i<3;i++) run?,2,3,4,0,B
Functions,100,Which keyword is used to define a function returning no value?,return,void,int,empty,B
Functions,200,What is the purpose of a function parameter?,Store output,Pass data into function,Return value,Stop execution,B
Functions,300,"What is the return type of int add(int a, int b)?",int,void,double,none,A
Functions,400,Which statement exits a function and sends a value back?,break,return,exit,stop,B
Functions,500,"If a function is not declared before use, what may happen?",Nothing,Compilation error,Runtime error,Warning,B
Arrays,100,Which declares an array of 5 integers?,int arr[5];,array<int> arr;,int arr;,int arr(5);,A
Arrays,200,What is the index of the first element in a C++ array?,1,0,-1,None,B
Arrays,300,Which loop is best for iterating a fixed-size array?,while,do-while,for,if,C
Arrays,400,What happens if you access out-of-range index?,Zero returned,Random value,Runtime error,Compilation error,B
Arrays,500,How many elements in int arr[3][4];?,7,12,3,4,B
File Handling,100,Which header file is used for file I/O?,fstream,iostream,file,stdio.h,A
File Handling,200,Which stream is used to write to a file?,ifstream,ofstream,fstream,cout,B
File Handling,300,Which method opens a file in append mode?,open('file.txt'),"open('file.txt', ios::in)","open('file.txt', ios::app)","open('file.txt', ios::out)",C
File Handling,400,Which function closes a file?,stop(),end(),close(),exit(),C
File Handling,500,What happens if a file fails to open?,Program crashes,Nothing happens,Error flag is set,File is created,C
